timestamp,site_id,O3,NO2,SO2,NOXasNO2,PM2.5,PM10,temp,humid,pres
2016-01-01,SWA1 [AQ],32.37,5.92,0.52,6.6,6.02,22.78,8.05,86.82,1004.9
2016-01-02,SWA1 [AQ],30.03,5.68,0.49,6.61,6.26,16.83,10.02,90.86,991.1
2016-01-03,SWA1 [AQ],39.64,2.35,0.3,2.74,4.25,21.33,9.12,86.48,982.03
2016-01-04,SWA1 [AQ],35.6,3.27,0.43,3.84,4.97,15.11,9.1,89.62,973.81
2016-01-05,SWA1 [AQ],25.63,5.44,0.6,6.24,9.22,14.28,7.97,87.45,978.86
2016-01-06,SWA1 [AQ],17.02,5.51,0.54,6.6,9.53,17.65,7.55,87.76,988.21
2016-01-07,SWA1 [AQ],36.28,2.41,0.35,2.89,4.21,24.74,7.83,79.96,984.78
2016-01-08,SWA1 [AQ],37.55,2.74,0.37,3.21,4.67,22.34,8.9,81.02,991.17
2016-01-09,SWA1 [AQ],36.06,2.27,0.35,2.73,3.8,12.54,8.83,85.24,979.58
2016-01-10,SWA1 [AQ],34.91,2.45,0.4,2.93,4.57,13.63,6.66,82.53,977.68
2016-01-11,SWA1 [AQ],26.21,6.09,0.8,7.1,8.96,18.9,6.64,85.81,978.97
2016-01-12,SWA1 [AQ],31.33,2.14,0.34,2.69,5.36,36.22,6.0,76.06,998.44
2016-01-13,SWA1 [AQ],33.92,4.8,0.71,5.6,7.67,22.93,5.48,80.64,1007.44
2016-01-14,SWA1 [AQ],33.94,2.83,0.43,3.37,5.76,18.26,4.38,75.85,1006.47
2016-01-15,SWA1 [AQ],34.99,2.55,0.37,3.07,4.99,25.78,4.29,76.27,1019.42
2016-01-16,SWA1 [AQ],17.56,9.49,1.29,11.04,14.77,32.61,4.66,87.59,1024.77
2016-01-17,SWA1 [AQ],26.04,7.44,0.71,8.21,10.31,19.19,6.25,96.58,1016.45
2016-01-18,SWA1 [AQ],24.17,6.79,0.69,7.77,10.07,17.55,5.63,90.66,1006.11
2016-01-19,SWA1 [AQ],14.92,11.71,1.73,13.89,25.23,35.36,4.03,69.46,1011.69
2016-01-20,SWA1 [AQ],15.3,13.84,1.8,16.36,27.19,35.27,3.39,73.15,1013.78
2016-01-21,SWA1 [AQ],24.24,6.27,0.59,7.26,11.01,19.97,6.51,92.28,1011.43
2016-01-22,SWA1 [AQ],32.32,2.86,0.35,3.37,6.49,41.36,9.51,93.1,1010.05
2016-01-23,SWA1 [AQ],34.39,3.01,0.41,3.52,7.13,37.91,9.58,91.9,1020.77
2016-01-24,SWA1 [AQ],31.79,3.59,0.43,4.13,8.16,24.58,10.84,95.3,1018.7
2016-01-25,SWA1 [AQ],32.05,2.94,0.4,3.45,7.34,34.72,10.37,86.02,1012.61
2016-01-26,SWA1 [AQ],37.94,1.69,0.29,2.12,4.55,32.29,9.8,93.21,1006.03
2016-01-27,SWA1 [AQ],37.97,2.07,0.36,2.52,5.29,37.86,9.23,88.96,1003.34
2016-01-28,SWA1 [AQ],40.99,2.01,0.33,2.42,5.07,36.09,8.47,81.29,1016.85
2016-01-29,SWA1 [AQ],42.57,1.74,0.27,2.15,6.17,53.72,9.98,96.42,1009.98
2016-01-30,SWA1 [AQ],39.81,2.09,0.35,2.51,5.01,36.33,6.76,71.7,1006.34
2016-01-31,SWA1 [AQ],37.31,2.31,0.32,2.72,5.89,43.63,9.99,93.1,1004.75
2016-02-01,SWA1 [AQ],39.21,1.63,0.28,2.06,6.72,62.62,10.15,88.74,1010.72
2016-02-02,SWA1 [AQ],39.0,2.11,0.34,2.6,5.1,40.05,7.51,73.92,1011.72
2016-02-03,SWA1 [AQ],34.59,2.49,0.4,3.03,5.28,34.44,7.0,71.21,1020.44
2016-02-04,SWA1 [AQ],35.75,2.83,0.39,3.43,5.92,26.41,9.7,96.64,1021.78
2016-02-05,SWA1 [AQ],39.24,2.02,0.31,2.49,4.52,19.2,9.28,90.8,1009.8
2016-02-06,SWA1 [AQ],39.6,1.83,0.29,2.25,3.51,16.0,8.23,89.67,986.6
2016-02-07,SWA1 [AQ],38.32,1.5,0.26,1.93,4.91,38.97,7.49,86.9,983.24
2016-02-08,SWA1 [AQ],38.43,1.45,0.27,1.95,5.98,67.1,8.1,76.52,981.26
2016-02-09,SWA1 [AQ],40.16,2.16,0.35,2.69,5.04,35.09,5.68,75.64,984.47
2016-02-10,SWA1 [AQ],28.79,4.2,0.6,4.95,7.69,27.55,6.02,79.6,994.9
2016-02-11,SWA1 [AQ],25.59,6.29,0.67,7.54,9.62,25.66,5.06,90.03,997.53
2016-02-12,SWA1 [AQ],23.1,7.09,0.7,8.38,11.61,22.52,6.27,85.51,987.98
2016-02-13,SWA1 [AQ],23.36,6.11,0.44,7.14,16.96,29.01,5.16,82.32,981.24
2016-02-14,SWA1 [AQ],27.51,3.88,0.35,4.7,12.51,25.15,4.78,69.15,995.4
2016-02-15,SWA1 [AQ],30.64,4.81,0.61,5.46,6.95,19.77,3.47,62.83,1024.1
2016-02-16,SWA1 [AQ],32.61,5.08,0.69,5.67,7.66,20.93,6.2,70.51,1025.84
2016-02-17,SWA1 [AQ],39.82,2.65,0.41,3.22,4.75,14.03,6.37,88.44,1008.87
2016-02-18,SWA1 [AQ],33.67,4.57,0.67,5.29,9.07,31.51,4.78,79.54,1011.11
2016-02-19,SWA1 [AQ],38.65,2.16,0.31,2.68,5.13,30.96,7.47,89.61,1008.28
2016-02-20,SWA1 [AQ],40.32,1.5,0.25,1.91,5.73,49.59,9.35,96.68,1006.11
2016-02-21,SWA1 [AQ],40.45,1.56,0.26,1.98,7.14,66.13,9.41,99.75,1006.38
2016-02-22,SWA1 [AQ],40.57,3.06,0.44,3.6,5.64,26.5,6.93,80.4,1006.56
2016-02-23,SWA1 [AQ],28.83,3.41,0.49,4.18,7.39,28.66,6.06,73.59,1013.79
2016-02-24,SWA1 [AQ],30.98,3.65,0.55,4.43,6.36,20.49,4.85,64.83,1013.7
2016-02-25,SWA1 [AQ],27.71,4.62,0.69,5.5,9.66,18.5,4.85,73.37,1012.46
2016-02-26,SWA1 [AQ],26.0,8.13,0.95,9.77,15.34,23.45,5.89,71.96,1001.85
2016-02-27,SWA1 [AQ],25.93,5.33,0.59,6.47,21.34,28.61,5.51,61.09,1006.6
2016-02-28,SWA1 [AQ],32.52,4.45,0.42,5.21,9.79,16.11,4.93,66.77,1018.27
2016-02-29,SWA1 [AQ],30.34,5.57,0.67,7.13,10.46,19.18,4.38,82.82,1021.27
2016-03-01,SWA1 [AQ],39.84,1.89,0.3,2.43,5.4,31.97,8.78,93.99,1005.02
2016-03-02,SWA1 [AQ],39.64,1.97,0.32,2.57,5.74,45.62,6.65,73.77,998.2
2016-03-03,SWA1 [AQ],37.41,2.52,0.37,3.23,5.51,30.24,6.88,81.01,999.54
2016-03-04,SWA1 [AQ],36.24,3.14,0.35,3.98,7.59,31.28,4.27,81.15,987.72
2016-03-05,SWA1 [AQ],31.84,2.36,0.35,3.03,8.47,24.13,5.7,71.4,999.35
2016-03-06,SWA1 [AQ],33.99,3.14,0.44,3.78,6.1,16.56,4.54,73.23,1003.15
2016-03-07,SWA1 [AQ],33.79,3.41,0.56,4.13,6.86,11.86,4.24,83.1,1008.04
2016-03-08,SWA1 [AQ],33.66,5.19,0.68,5.96,10.13,24.49,6.31,93.7,1006.06
2016-03-09,SWA1 [AQ],42.67,2.56,0.37,3.13,5.45,23.97,6.12,77.45,996.82
2016-03-10,SWA1 [AQ],36.8,3.86,0.56,4.63,8.58,27.45,7.02,75.6,1016.95
2016-03-11,SWA1 [AQ],14.63,12.37,1.37,17.72,48.84,57.38,6.46,76.9,1023.39
2016-03-12,SWA1 [AQ],12.96,16.64,2.23,28.1,57.25,70.06,7.25,84.41,1025.55
2016-03-13,SWA1 [AQ],21.58,8.61,1.07,10.96,47.51,51.41,8.94,77.43,1028.82
2016-03-14,SWA1 [AQ],32.76,4.67,0.45,5.64,16.0,23.09,7.72,62.78,1026.77
2016-03-15,SWA1 [AQ],30.25,5.64,0.6,6.89,16.69,24.85,7.4,72.97,1025.5
2016-03-16,SWA1 [AQ],32.27,4.43,0.42,5.5,12.18,19.88,8.55,70.31,1024.99
2016-03-17,SWA1 [AQ],29.52,5.39,0.65,6.53,23.92,29.18,7.0,69.08,1025.52
2016-03-18,SWA1 [AQ],17.91,11.1,1.2,14.23,38.53,44.98,5.98,78.6,1022.64
2016-03-19,SWA1 [AQ],33.23,5.33,0.46,6.36,14.29,24.03,6.96,72.44,1022.3
2016-03-20,SWA1 [AQ],25.92,8.95,1.0,10.51,24.25,35.97,6.12,75.07,1021.63
2016-03-21,SWA1 [AQ],27.22,6.95,0.79,8.06,23.66,30.01,6.97,77.91,1019.31
2016-03-22,SWA1 [AQ],30.2,6.47,0.85,8.09,20.83,26.8,7.55,72.97,1013.94
2016-03-23,SWA1 [AQ],34.38,4.58,0.58,5.76,19.41,24.28,8.01,73.27,1012.8
2016-03-24,SWA1 [AQ],39.74,2.55,0.35,3.22,5.98,13.77,8.23,96.38,1006.98
2016-03-25,SWA1 [AQ],38.83,3.81,0.52,4.85,9.31,31.18,8.53,84.89,1009.47
2016-03-26,SWA1 [AQ],41.52,1.95,0.29,2.54,5.58,24.12,9.08,87.77,993.77
2016-03-27,SWA1 [AQ],37.6,2.07,0.31,2.66,5.05,35.22,7.76,86.72,988.35
2016-03-28,SWA1 [AQ],34.17,2.34,0.33,3.14,4.56,15.34,7.11,83.26,984.4
2016-03-29,SWA1 [AQ],40.0,2.08,0.34,2.72,4.95,23.87,6.7,83.52,996.52
2016-03-30,SWA1 [AQ],33.17,3.14,0.52,4.02,5.68,15.91,7.7,79.15,1003.85
2016-03-31,SWA1 [AQ],31.05,4.04,0.61,4.99,8.53,19.86,7.3,80.11,1012.55
2016-04-01,SWA1 [AQ],36.49,3.06,0.41,3.78,6.58,18.24,8.02,84.19,1011.09
2016-04-02,SWA1 [AQ],38.25,3.19,0.41,3.89,7.55,14.22,8.86,84.51,1004.12
2016-04-03,SWA1 [AQ],33.85,9.1,0.73,10.52,23.56,29.23,8.44,89.29,998.18
2016-04-04,SWA1 [AQ],31.37,8.25,0.95,11.24,21.52,29.23,9.41,88.58,996.53
2016-04-05,SWA1 [AQ],38.49,2.92,0.36,3.8,10.1,16.31,9.01,87.66,1004.25
2016-04-06,SWA1 [AQ],46.39,2.0,0.33,2.58,5.88,41.39,8.33,77.42,1003.67
2016-04-07,SWA1 [AQ],38.28,2.47,0.36,3.23,6.54,41.21,8.25,74.72,1007.44
2016-04-08,SWA1 [AQ],35.63,2.87,0.36,3.77,6.98,22.33,8.34,84.54,1006.42
2016-04-09,SWA1 [AQ],43.03,2.93,0.45,3.63,6.41,27.48,6.3,76.12,997.82
2016-04-10,SWA1 [AQ],45.25,4.59,0.58,5.38,7.97,27.86,8.48,73.7,997.39
2016-04-11,SWA1 [AQ],33.74,6.43,0.6,8.83,20.43,27.71,9.47,87.95,1000.77
2016-04-12,SWA1 [AQ],34.03,7.44,0.86,8.72,17.65,25.64,8.66,82.01,1001.8
2016-04-13,SWA1 [AQ],27.47,11.1,1.69,14.7,17.54,28.65,9.44,80.86,1003.69
2016-04-14,SWA1 [AQ],27.66,12.86,1.86,15.93,20.15,30.11,10.4,83.25,1003.05
2016-04-15,SWA1 [AQ],36.2,3.5,0.43,4.6,9.63,14.51,9.22,79.46,996.95
2016-04-16,SWA1 [AQ],35.74,2.03,0.31,2.7,5.4,24.95,6.5,65.18,1002.35
2016-04-17,SWA1 [AQ],38.84,2.87,0.42,3.53,5.8,21.09,6.84,67.09,1012.86
2016-04-18,SWA1 [AQ],40.21,3.19,0.47,3.91,6.09,13.91,8.53,77.74,1018.75
2016-04-19,SWA1 [AQ],33.32,7.85,1.0,9.75,14.58,24.48,10.61,79.39,1023.3
2016-04-20,SWA1 [AQ],34.29,4.75,0.49,5.8,9.48,21.6,11.65,57.69,1022.5
2016-04-21,SWA1 [AQ],36.65,4.4,0.48,5.48,7.34,15.6,11.89,59.52,1017.5
2016-04-22,SWA1 [AQ],40.85,3.61,0.31,4.47,8.2,15.14,9.21,78.03,1016.25
2016-04-23,SWA1 [AQ],36.61,2.85,0.32,3.61,7.8,20.71,8.76,63.78,1018.0
2016-04-24,SWA1 [AQ],40.74,2.17,0.3,2.74,4.56,10.62,9.25,63.01,1017.48
2016-04-25,SWA1 [AQ],41.7,2.1,0.27,2.77,4.97,17.09,8.92,69.02,1008.76
2016-04-26,SWA1 [AQ],39.58,1.75,0.26,2.42,4.41,28.03,6.31,65.36,1007.6
2016-04-27,SWA1 [AQ],36.18,2.2,0.32,2.96,4.86,17.21,5.88,67.42,1010.03
2016-04-28,SWA1 [AQ],37.2,2.46,0.35,3.18,5.81,19.77,6.99,77.18,1007.97
2016-04-29,SWA1 [AQ],37.2,2.08,0.28,2.82,5.09,21.52,7.16,62.64,1007.73
2016-04-30,SWA1 [AQ],38.2,2.72,0.33,3.36,5.47,14.74,7.9,70.6,1018.67
2016-05-01,SWA1 [AQ],38.4,2.17,0.29,2.86,5.42,15.4,9.4,92.75,1020.88
2016-05-02,SWA1 [AQ],38.67,1.94,0.28,2.6,6.17,31.92,10.11,88.64,1015.32
2016-05-03,SWA1 [AQ],38.87,2.26,0.33,2.9,5.35,26.98,9.31,78.35,1022.06
2016-05-04,SWA1 [AQ],38.83,3.62,0.43,4.47,6.83,22.01,10.97,74.63,1019.97
2016-05-05,SWA1 [AQ],38.51,9.5,0.84,11.22,15.55,27.77,12.34,66.4,1013.38
2016-05-06,SWA1 [AQ],43.51,6.51,0.76,8.09,16.94,22.92,14.27,58.94,1005.05
2016-05-07,SWA1 [AQ],44.87,6.59,0.65,7.77,19.17,25.43,14.31,76.16,1000.32
2016-05-08,SWA1 [AQ],46.12,5.95,0.74,6.87,13.07,20.62,16.22,71.54,999.75
2016-05-09,SWA1 [AQ],47.65,4.76,0.5,5.6,10.49,15.32,15.6,77.5,1001.68
2016-05-10,SWA1 [AQ],35.94,7.67,0.54,9.33,14.98,18.69,14.18,98.85,1001.25
2016-05-11,SWA1 [AQ],34.85,7.66,0.67,9.42,13.53,18.81,14.0,98.69,998.67
2016-05-12,SWA1 [AQ],43.99,4.49,0.46,5.34,16.86,21.27,16.22,80.01,999.22
2016-05-13,SWA1 [AQ],44.35,5.76,0.48,6.85,15.24,23.63,13.87,79.62,1006.6
2016-05-14,SWA1 [AQ],39.78,3.9,0.31,4.9,8.8,21.25,10.68,73.44,1016.18
2016-05-15,SWA1 [AQ],45.03,2.78,0.25,3.39,5.67,11.68,10.76,75.81,1018.67
2016-05-16,SWA1 [AQ],44.41,2.66,0.24,3.43,8.65,14.2,11.15,81.96,1017.88
2016-05-17,SWA1 [AQ],44.24,2.2,0.22,2.93,8.69,15.35,11.63,93.39,1010.32
2016-05-18,SWA1 [AQ],37.67,1.85,0.22,2.55,4.59,15.29,11.93,79.67,1000.52
2016-05-19,SWA1 [AQ],31.57,2.52,0.26,3.41,5.83,18.04,11.56,89.43,1007.35
2016-05-20,SWA1 [AQ],36.95,1.97,0.2,2.71,5.98,22.25,12.54,90.87,1008.09
2016-05-21,SWA1 [AQ],36.95,1.99,0.23,2.65,5.28,15.14,12.16,97.73,1000.97
2016-05-22,SWA1 [AQ],33.23,2.43,0.28,3.18,4.3,10.31,12.1,84.78,1004.67
2016-05-23,SWA1 [AQ],33.69,2.09,0.19,2.8,4.19,11.9,12.26,72.0,1015.63
2016-05-24,SWA1 [AQ],35.67,3.06,0.23,3.9,5.29,9.72,13.37,67.91,1016.08
2016-05-25,SWA1 [AQ],35.2,4.13,0.29,5.39,7.81,18.8,11.28,68.15,1013.67
2016-05-26,SWA1 [AQ],34.23,6.54,0.64,8.53,12.66,21.39,13.18,69.0,1011.4
2016-05-27,SWA1 [AQ],37.54,7.9,0.74,9.86,16.5,23.43,13.76,85.08,1011.65
2016-05-28,SWA1 [AQ],34.94,8.38,0.93,10.37,26.9,34.27,15.09,83.03,1010.02
2016-05-29,SWA1 [AQ],39.54,4.12,0.32,5.24,17.43,22.37,15.02,82.86,1010.05
2016-05-30,SWA1 [AQ],41.35,2.52,0.22,3.17,9.26,12.45,16.44,69.51,1013.84
2016-05-31,SWA1 [AQ],41.99,1.82,0.18,2.37,5.15,9.22,16.1,67.59,1016.55
2016-06-01,SWA1 [AQ],43.86,2.39,0.19,3.0,7.14,15.84,16.21,75.13,1018.99
2016-06-02,SWA1 [AQ],41.02,3.54,0.3,4.5,7.07,18.83,14.53,74.01,1016.68
2016-06-03,SWA1 [AQ],35.03,5.51,0.49,6.94,13.94,24.35,13.46,77.16,1013.2
2016-06-04,SWA1 [AQ],34.61,7.11,0.88,9.19,22.1,30.14,15.37,82.32,1013.63
2016-06-05,SWA1 [AQ],37.88,6.18,0.6,7.6,23.37,27.95,17.04,83.54,1015.58
2016-06-06,SWA1 [AQ],36.83,8.9,0.88,11.24,15.53,22.97,17.36,81.04,1015.92
2016-06-07,SWA1 [AQ],39.58,4.92,0.57,5.61,14.53,19.13,15.71,90.13,1019.28
2016-06-08,SWA1 [AQ],36.48,4.17,0.41,5.14,10.87,15.17,15.83,88.36,1019.78
2016-06-09,SWA1 [AQ],31.88,10.35,1.35,13.2,27.07,35.42,16.49,90.13,1015.45
2016-06-10,SWA1 [AQ],36.11,9.1,1.09,11.01,13.88,20.01,16.3,87.12,1008.16
2016-06-11,SWA1 [AQ],40.36,3.05,0.32,3.83,9.82,12.87,15.7,92.37,1006.1
2016-06-12,SWA1 [AQ],23.95,4.52,0.4,5.79,5.48,11.08,15.29,92.74,1001.98
2016-06-13,SWA1 [AQ],29.93,2.22,0.22,3.16,5.34,15.27,14.59,92.94,998.12
2016-06-14,SWA1 [AQ],31.84,1.81,0.19,2.57,3.6,10.6,13.8,92.14,991.92
2016-06-15,SWA1 [AQ],32.33,4.72,0.41,6.22,6.65,10.67,14.57,88.79,991.77
2016-06-16,SWA1 [AQ],37.81,2.42,0.2,3.16,7.6,10.83,14.39,85.77,997.33
2016-06-17,SWA1 [AQ],34.51,1.99,0.17,2.82,4.65,9.68,14.03,82.6,1005.57
2016-06-18,SWA1 [AQ],34.96,2.13,0.24,2.78,6.62,17.12,13.9,80.91,1016.77
2016-06-19,SWA1 [AQ],27.23,2.69,0.25,3.63,4.82,8.92,14.37,97.6,1016.41
2016-06-20,SWA1 [AQ],28.18,1.74,0.2,2.63,4.78,16.81,15.12,96.34,1008.82
2016-06-21,SWA1 [AQ],32.71,2.09,0.24,2.86,4.77,13.2,15.46,83.9,1012.47
2016-06-22,SWA1 [AQ],27.61,5.41,0.52,7.25,7.56,12.71,15.41,91.88,1013.26
2016-06-23,SWA1 [AQ],26.95,2.15,0.2,3.09,5.25,11.65,15.3,82.82,1012.94
2016-06-24,SWA1 [AQ],25.85,1.58,0.19,2.43,4.72,12.23,15.29,82.49,1012.89
2016-06-25,SWA1 [AQ],28.81,1.83,0.15,2.54,5.5,9.89,15.02,79.67,1014.25
2016-06-26,SWA1 [AQ],26.12,2.1,0.17,2.91,5.45,9.41,14.35,91.95,1014.12
2016-06-27,SWA1 [AQ],32.28,1.85,0.17,2.55,5.55,19.31,14.81,79.0,1014.99
2016-06-28,SWA1 [AQ],32.6,2.25,0.22,3.17,5.22,13.48,13.87,87.47,1007.9
2016-06-29,SWA1 [AQ],31.95,1.69,0.19,2.4,4.56,19.13,14.35,93.69,1002.07
2016-06-30,SWA1 [AQ],26.38,1.8,0.17,2.62,4.38,12.87,14.55,89.36,1003.84
2016-07-01,SWA1 [AQ],25.94,1.21,0.16,1.98,5.06,27.49,14.45,78.69,1003.96
2016-07-02,SWA1 [AQ],25.37,1.26,0.14,1.89,3.97,20.24,13.91,77.68,1009.71
2016-07-03,SWA1 [AQ],25.35,1.91,0.18,2.75,5.31,19.47,14.68,81.4,1014.07
2016-07-04,SWA1 [AQ],21.91,3.04,0.2,4.16,6.13,17.19,14.32,94.67,1012.96
2016-07-05,SWA1 [AQ],30.06,1.83,0.12,2.53,3.35,9.31,14.59,74.75,1015.77
2016-07-06,SWA1 [AQ],31.1,2.46,0.2,3.3,4.81,8.65,14.53,80.62,1018.62
2016-07-07,SWA1 [AQ],26.22,1.67,0.16,2.53,4.47,9.57,15.83,94.05,1014.09
2016-07-08,SWA1 [AQ],27.47,1.43,0.12,2.15,4.48,12.44,15.96,95.06,1012.51
2016-07-09,SWA1 [AQ],28.49,1.39,0.1,1.98,4.99,16.77,16.56,96.32,1010.1
2016-07-10,SWA1 [AQ],24.25,1.06,0.09,1.66,6.72,36.71,16.27,93.54,1001.85
2016-07-11,SWA1 [AQ],26.59,1.28,0.13,1.96,3.98,20.71,15.32,86.35,1003.6
2016-07-12,SWA1 [AQ],26.42,1.9,0.12,2.71,3.22,8.03,14.78,71.67,1009.49
2016-07-13,SWA1 [AQ],25.6,1.75,0.09,2.54,3.69,9.34,14.53,72.89,1016.05
2016-07-14,SWA1 [AQ],25.51,1.93,0.11,2.75,3.61,10.92,14.79,77.88,1021.47
2016-07-15,SWA1 [AQ],27.52,1.97,0.14,2.77,3.52,9.92,15.02,94.98,1021.89
2016-07-16,SWA1 [AQ],26.8,1.46,0.13,2.11,4.1,9.95,16.02,99.68,1020.86
2016-07-17,SWA1 [AQ],24.24,2.21,0.08,3.01,5.33,7.96,16.13,99.68,1019.08
2016-07-18,SWA1 [AQ],20.33,6.75,0.35,11.12,9.44,13.83,19.62,82.45,1016.62
2016-07-19,SWA1 [AQ],35.13,6.86,0.61,8.06,6.93,11.97,22.16,71.76,1009.04
2016-07-20,SWA1 [AQ],31.66,2.84,0.23,3.52,8.15,14.07,18.26,85.0,1006.27
2016-07-21,SWA1 [AQ],25.83,2.02,0.13,2.8,3.39,9.19,16.93,86.31,1012.46
2016-07-22,SWA1 [AQ],24.35,4.6,0.38,5.98,6.66,10.71,17.66,86.6,1014.49
2016-07-23,SWA1 [AQ],22.2,2.71,0.14,3.58,4.53,8.0,17.28,86.24,1016.48
2016-07-24,SWA1 [AQ],24.81,1.82,0.13,2.55,4.27,10.26,16.36,92.6,1013.91
2016-07-25,SWA1 [AQ],21.59,1.82,0.15,2.67,3.97,12.99,15.79,84.88,1015.75
2016-07-26,SWA1 [AQ],23.5,1.93,0.12,2.74,4.51,12.46,16.35,93.1,1016.0
2016-07-27,SWA1 [AQ],22.67,1.75,0.11,2.68,3.28,8.38,17.1,82.84,1011.92
2016-07-28,SWA1 [AQ],22.26,2.14,0.11,3.12,4.57,12.58,16.01,93.55,1008.92
2016-07-29,SWA1 [AQ],21.52,2.07,0.11,3.14,3.92,12.37,16.29,90.16,1007.38
2016-07-30,SWA1 [AQ],26.67,1.95,0.1,2.7,2.86,5.85,16.42,76.48,1010.67
2016-07-31,SWA1 [AQ],25.34,2.84,0.13,3.66,4.57,6.99,15.72,77.84,1014.21
2016-08-01,SWA1 [AQ],23.68,2.38,0.13,3.45,2.53,5.33,15.39,91.73,1011.26
2016-08-02,SWA1 [AQ],22.11,1.4,0.08,2.25,4.5,19.67,17.3,99.89,1004.35
2016-08-03,SWA1 [AQ],23.41,1.03,0.06,1.71,4.7,30.03,16.88,89.29,1002.52
2016-08-04,SWA1 [AQ],29.78,1.56,0.09,2.17,4.35,25.29,16.14,84.31,1006.39
2016-08-05,SWA1 [AQ],26.74,2.4,0.11,3.31,4.12,9.8,16.18,86.81,1016.69
2016-08-06,SWA1 [AQ],21.99,1.34,0.07,2.05,3.58,7.84,17.57,87.81,1022.12
2016-08-07,SWA1 [AQ],29.05,1.08,0.1,1.53,4.8,30.77,17.3,84.0,1019.46
2016-08-08,SWA1 [AQ],29.37,1.72,0.1,2.39,3.78,20.11,15.38,71.42,1019.59
2016-08-09,SWA1 [AQ],33.05,1.75,0.07,2.33,4.03,18.6,14.47,70.74,1023.35
2016-08-10,SWA1 [AQ],27.83,1.85,0.08,2.56,2.99,10.07,15.02,79.55,1021.99
2016-08-11,SWA1 [AQ],35.53,2.11,0.11,2.68,3.68,13.44,15.51,83.53,1019.99
2016-08-12,SWA1 [AQ],34.74,1.83,0.06,2.43,3.84,10.93,16.71,85.98,1020.09
2016-08-13,SWA1 [AQ],29.38,1.49,0.07,2.0,3.21,11.8,17.04,81.83,1019.1
2016-08-14,SWA1 [AQ],22.24,4.85,0.26,6.48,5.73,13.02,16.63,78.91,1021.25
2016-08-15,SWA1 [AQ],27.29,6.47,0.7,8.55,9.19,16.27,18.25,74.4,1018.38
2016-08-16,SWA1 [AQ],29.44,7.12,0.82,8.92,9.72,17.19,18.7,76.65,1012.98
2016-08-17,SWA1 [AQ],32.05,6.25,0.65,7.6,13.32,17.97,18.11,78.42,1007.53
2016-08-18,SWA1 [AQ],35.74,6.57,0.6,8.13,24.17,26.06,18.07,86.01,1005.22
2016-08-19,SWA1 [AQ],31.58,3.0,0.15,3.99,4.83,20.55,17.11,84.54,998.14
2016-08-20,SWA1 [AQ],34.33,0.93,0.06,1.32,4.5,38.86,16.18,88.03,998.55
2016-08-21,SWA1 [AQ],31.27,1.43,0.09,1.92,4.1,26.06,16.27,88.97,1012.45
2016-08-22,SWA1 [AQ],31.94,2.21,0.17,2.79,4.93,22.57,17.25,96.72,1017.41
2016-08-23,SWA1 [AQ],32.19,6.91,0.59,8.19,8.14,14.51,19.1,83.7,1015.57
2016-08-24,SWA1 [AQ],33.38,2.1,0.08,2.7,5.16,8.89,18.35,83.81,1014.82
2016-08-25,SWA1 [AQ],29.47,4.89,0.25,6.54,8.47,12.69,17.52,92.12,1011.46
2016-08-26,SWA1 [AQ],24.97,3.73,0.21,4.62,3.48,6.78,16.13,82.13,1014.47
2016-08-27,SWA1 [AQ],35.6,4.67,0.25,5.6,11.35,14.14,17.14,81.14,1010.18
2016-08-28,SWA1 [AQ],30.9,2.55,0.16,3.3,7.84,14.48,17.45,90.07,1008.87
2016-08-29,SWA1 [AQ],33.48,2.77,0.13,3.52,6.33,9.17,16.68,86.48,1018.84
2016-08-30,SWA1 [AQ],31.83,3.78,0.15,5.0,9.2,13.86,17.47,83.16,1019.11
2016-08-31,SWA1 [AQ],27.86,2.04,0.13,2.73,5.9,18.07,17.04,86.53,1016.15
2016-09-01,SWA1 [AQ],27.88,2.18,0.12,2.88,5.36,19.9,16.52,82.77,1018.41
2016-09-02,SWA1 [AQ],28.29,1.62,0.1,2.32,4.83,20.5,17.12,86.85,1013.58
2016-09-03,SWA1 [AQ],27.08,1.48,0.09,2.04,4.28,18.81,16.95,91.94,1007.92
2016-09-04,SWA1 [AQ],32.26,1.81,0.12,2.32,3.11,15.17,16.48,85.06,1009.15
2016-09-05,SWA1 [AQ],24.16,3.57,0.21,4.48,6.18,21.99,17.18,99.52,1013.84
2016-09-06,SWA1 [AQ],26.14,4.34,0.28,5.13,6.44,14.87,18.76,93.63,1018.19
2016-09-07,SWA1 [AQ],25.45,9.47,0.84,11.54,12.93,20.36,19.5,86.04,1010.85
2016-09-08,SWA1 [AQ],33.53,2.2,0.15,2.71,6.06,26.08,17.01,84.71,1006.36
2016-09-09,SWA1 [AQ],29.47,1.65,0.11,2.27,4.74,22.22,18.0,89.13,1006.3
2016-09-10,SWA1 [AQ],28.19,2.11,0.17,2.75,3.94,20.21,15.66,80.19,1007.95
2016-09-11,SWA1 [AQ],34.52,2.15,0.16,2.61,3.45,15.74,15.98,76.06,1010.15
2016-09-12,SWA1 [AQ],27.64,4.11,0.25,4.8,5.83,13.89,18.71,87.56,1004.72
2016-09-13,SWA1 [AQ],32.3,7.32,0.72,8.17,14.53,19.62,18.77,90.87,1004.37
2016-09-14,SWA1 [AQ],32.68,6.96,0.46,8.22,16.47,22.74,19.73,84.07,1005.29
2016-09-15,SWA1 [AQ],29.72,4.71,0.28,5.51,6.22,10.42,17.9,83.35,1006.9
